date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,start_order
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1959810,GRISKENAS Evita,Person,USA,United States,30.500,POINTS,1
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1958422,PHILAPHANDETH Praewa Misato,Person,LAO,Lao PDR,21.600,POINTS,2
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1555070,TUGOLUKOVA Vera,Person,CYP,Cyprus,31.150,POINTS,3
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1880542,IKROMOVA Takhmina,Person,UZB,Uzbekistan,32.350,POINTS,4
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1978492,SALEH Aliaa,Person,EGY,Egypt,28.700,POINTS,5
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548948,KALEYN Boryana,Person,BUL,Bulgaria,34.600,POINTS,6
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548933,NIKOLOVA Stiliana,Person,BUL,Bulgaria,33.900,POINTS,7
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1941726,KIROI-BOGATYREVA Alexandra,Person,AUS,Australia,28.550,POINTS,8
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1891438,PIGNICZKI Fanni,Person,HUN,Hungary,32.650,POINTS,9
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1972352,AGHAMIROVA Zohra,Person,AZE,Azerbaijan,30.200,POINTS,10
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1923694,RAFFAELI Sofia,Person,ITA,Italy,35.700,POINTS,11
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1896230,VARFOLOMEEV Darja,Person,GER,Germany,36.450,POINTS,12
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1929613,TANIYEVA Elzhana,Person,KAZ,Kazakhstan,30.850,POINTS,13
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1935794,BAUTISTA Alba,Person,ESP,Spain,28.100,POINTS,14
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1897573,ONOFRIICHUK Taisiia,Person,UKR,Ukraine,34.250,POINTS,15
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1927514,WANG Zilu,Person,CHN,China,32.000,POINTS,16
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1540832,DRAGAN Annaliese,Person,ROU,Romania,27.200,POINTS,17
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1908246,ATAMANOV Daria,Person,ISR,Israel,32.700,POINTS,18
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1903509,KARBANOV Helene,Person,FRA,France,30.500,POINTS,19
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1980875,VEDENEEVA Ekaterina,Person,SLO,Slovenia,32.600,POINTS,20
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1935795,BEREZINA Polina,Person,ESP,Spain,29.700,POINTS,21
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1953668,DOMINGOS Barbara,Person,BRA,Brazil,33.100,POINTS,22
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1896203,KOLOSOV Margarita,Person,GER,Germany,34.550,POINTS,23
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000101,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 1,Qualification - Rotation 1,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1923695,BALDASSARRI Milena,Person,ITA,Italy,32.750,POINTS,24
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1959810,GRISKENAS Evita,Person,USA,United States,31.200,POINTS,1
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1958422,PHILAPHANDETH Praewa Misato,Person,LAO,Lao PDR,21.600,POINTS,2
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1555070,TUGOLUKOVA Vera,Person,CYP,Cyprus,31.200,POINTS,3
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1880542,IKROMOVA Takhmina,Person,UZB,Uzbekistan,31.700,POINTS,4
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1978492,SALEH Aliaa,Person,EGY,Egypt,28.150,POINTS,5
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548948,KALEYN Boryana,Person,BUL,Bulgaria,35.350,POINTS,6
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548933,NIKOLOVA Stiliana,Person,BUL,Bulgaria,34.700,POINTS,7
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1941726,KIROI-BOGATYREVA Alexandra,Person,AUS,Australia,30.050,POINTS,8
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1891438,PIGNICZKI Fanni,Person,HUN,Hungary,32.600,POINTS,9
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1972352,AGHAMIROVA Zohra,Person,AZE,Azerbaijan,32.500,POINTS,10
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1923694,RAFFAELI Sofia,Person,ITA,Italy,34.450,POINTS,11
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1896230,VARFOLOMEEV Darja,Person,GER,Germany,32.500,POINTS,12
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1929613,TANIYEVA Elzhana,Person,KAZ,Kazakhstan,32.000,POINTS,13
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1935794,BAUTISTA Alba,Person,ESP,Spain,31.100,POINTS,14
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1897573,ONOFRIICHUK Taisiia,Person,UKR,Ukraine,35.250,POINTS,15
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1927514,WANG Zilu,Person,CHN,China,34.200,POINTS,16
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1540832,DRAGAN Annaliese,Person,ROU,Romania,30.550,POINTS,17
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1908246,ATAMANOV Daria,Person,ISR,Israel,33.250,POINTS,18
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1903509,KARBANOV Helene,Person,FRA,France,32.350,POINTS,19
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1980875,VEDENEEVA Ekaterina,Person,SLO,Slovenia,34.150,POINTS,20
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1935795,BEREZINA Polina,Person,ESP,Spain,32.750,POINTS,21
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1953668,DOMINGOS Barbara,Person,BRA,Brazil,34.750,POINTS,22
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000102,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 2,Qualification - Rotation 2,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1896203,KOLOSOV Margarita,Person,GER,Germany,33.000,POINTS,23
